Respondent_ID,Country,AI_Integration_Maturity_Score,Governance_Practice_Rating,Project_KPI_Improvement,Industry_Sector,Survey_Year
1,UK,8,4,23.29,Software,2022
2,USA,6,3,-15.38,Software,2021
3,Germany,9,3,33.91,Manufacturing,2020
4,UK,5,1,-0.02,Energy,2023
5,USA,3,4,22.68,Manufacturing,2022
6,UK,3,1,-8.41,Construction,2021
7,USA,6,3,-7.61,Software,2022
8,UK,6,4,45.81,Software,2021
9,Germany,4,2,35.64,Energy,2020
10,China,5,2,-11.35,Manufacturing,2020
11,Germany,9,4,-0.35,Energy,2022
12,China,3,2,-9.82,Construction,2021
13,China,2,4,46.4,Energy,2021
14,UK,4,4,20.32,Manufacturing,2023
15,China,4,1,37.94,Energy,2023
16,Germany,9,1,1.53,Software,2022
17,UK,1,1,23.73,Energy,2022
18,India,5,1,49.62,Energy,2020
19,UK,3,2,2.4,Manufacturing,2022
20,Germany,6,4,45.32,Manufacturing,2020
21,Germany,5,3,-3.69,Energy,2020
22,USA,9,1,0.08,Energy,2020
23,China,5,3,-0.59,Construction,2021
24,China,5,1,12.12,Construction,2023
25,China,5,3,40.41,Energy,2022
26,Germany,4,4,23.77,Manufacturing,2020
27,China,4,2,18.08,Manufacturing,2021
28,UK,4,1,-8.3,Construction,2020
29,China,8,4,49.76,Energy,2022
30,Germany,7,4,46.51,Software,2020
31,China,3,3,38.66,Energy,2023
32,India,4,1,-7.79,Energy,2022
33,UK,9,3,37.67,Manufacturing,2023
34,USA,1,3,15.14,Manufacturing,2020
35,India,6,3,20.23,Construction,2023
36,USA,8,1,8.04,Energy,2020
37,India,3,2,-5.55,Energy,2023
38,China,5,4,33.39,Construction,2022
39,USA,4,4,31.49,Software,2022
40,India,2,4,10.71,Energy,2022
41,UK,9,2,-7.51,Construction,2020
42,China,8,3,7.62,Software,2023
43,India,5,2,26.06,Manufacturing,2022
44,USA,9,2,-14.21,Software,2022
45,Germany,7,3,30.19,Software,2023
46,USA,6,4,41.76,Construction,2022
47,USA,7,1,27.79,Manufacturing,2020
48,Germany,8,3,31.8,Energy,2021
49,India,4,1,5.74,Software,2022
50,USA,6,1,-17.87,Manufacturing,2020
51,UK,6,1,42.86,Software,2023
52,USA,9,4,-7.72,Energy,2020
53,Germany,4,1,27.89,Energy,2023
54,India,5,1,3.23,Software,2022
55,India,7,1,44.19,Energy,2023
56,India,1,4,39.46,Construction,2021
57,China,3,4,22.59,Software,2023
58,India,9,2,17.08,Energy,2023
59,India,6,3,46.36,Energy,2022
60,Germany,9,2,33.77,Manufacturing,2023
61,USA,8,3,10.79,Software,2023
62,Germany,3,4,41.84,Manufacturing,2020
63,Germany,7,3,16.66,Energy,2023
64,India,2,4,-5.77,Manufacturing,2022
65,UK,4,3,-16.26,Construction,2020
66,China,2,1,5.94,Manufacturing,2021
67,USA,2,4,-18.15,Manufacturing,2023
68,China,9,1,4.57,Software,2023
69,USA,9,2,3.81,Software,2020
70,UK,6,2,42.25,Software,2021
71,USA,4,2,40.71,Manufacturing,2022
72,India,9,2,7.56,Software,2021
73,China,7,2,49.96,Energy,2020
74,USA,7,3,23.39,Construction,2023
75,China,4,1,12.86,Energy,2021
76,China,4,3,-8.27,Software,2023
77,India,2,3,34.37,Construction,2020
78,USA,4,4,46.04,Manufacturing,2022
79,UK,5,3,9.92,Software,2022
80,China,8,1,-9.42,Energy,2020
81,Germany,7,3,10.95,Construction,2022
82,India,5,4,-4.92,Manufacturing,2023
83,USA,1,4,-18.0,Manufacturing,2023
84,India,7,4,25.94,Software,2022
85,China,1,2,-17.63,Construction,2021
86,Germany,2,1,-7.3,Energy,2020
87,UK,9,4,44.88,Manufacturing,2022
88,India,1,1,-6.81,Software,2023
89,China,4,4,-9.11,Construction,2021
90,Germany,6,1,22.05,Manufacturing,2022
91,India,1,3,40.85,Manufacturing,2021
92,China,5,4,30.7,Software,2023
93,UK,9,1,7.64,Manufacturing,2022
94,USA,9,2,41.06,Energy,2021
95,Germany,6,1,16.52,Manufacturing,2022
96,India,5,3,30.12,Manufacturing,2023
97,UK,7,1,-12.75,Manufacturing,2021
98,China,5,4,-0.06,Manufacturing,2021
99,China,6,2,-10.94,Construction,2022
100,China,2,2,26.83,Software,2023
101,India,6,3,24.1,Energy,2020
102,China,8,4,30.17,Manufacturing,2021
103,USA,1,4,23.46,Construction,2022
104,USA,3,2,7.54,Software,2021
105,China,9,1,31.27,Software,2023
106,Germany,2,2,30.69,Manufacturing,2022
107,USA,4,4,-4.82,Manufacturing,2023
108,UK,2,2,25.54,Energy,2022
109,India,4,2,17.73,Construction,2021
110,India,9,1,39.38,Construction,2020
111,India,7,1,38.78,Manufacturing,2020
112,India,2,1,-16.63,Manufacturing,2021
113,Germany,9,4,21.52,Construction,2022
114,UK,9,3,-0.9,Manufacturing,2023
115,UK,3,1,-15.45,Software,2020
116,China,8,3,9.05,Manufacturing,2021
117,Germany,8,4,-18.26,Software,2023
118,USA,1,1,22.4,Construction,2020
119,UK,4,3,26.11,Manufacturing,2020
120,Germany,9,2,-10.78,Construction,2023
121,Germany,4,2,28.97,Manufacturing,2020
122,India,5,1,-1.7,Construction,2023
123,China,7,2,-14.72,Construction,2020
124,UK,6,3,6.37,Software,2023
125,UK,3,3,1.86,Software,2021
126,USA,2,2,30.87,Construction,2021
127,India,7,1,13.86,Energy,2022
128,Germany,5,2,24.44,Energy,2021
129,Germany,1,2,21.83,Construction,2021
130,USA,7,3,39.1,Construction,2020
131,USA,9,3,29.18,Software,2020
132,India,7,2,27.03,Energy,2021
133,USA,9,1,24.31,Energy,2021
134,Germany,1,2,47.79,Software,2021
135,USA,4,2,-18.96,Energy,2021
136,India,1,3,16.66,Manufacturing,2022
137,USA,3,1,35.01,Manufacturing,2023
138,UK,1,2,38.72,Energy,2021
139,India,1,3,11.48,Software,2022
140,India,1,1,41.16,Manufacturing,2021
141,UK,9,2,46.74,Software,2021
142,Germany,6,3,-6.1,Energy,2022
143,India,2,3,-1.19,Construction,2020
144,China,1,2,17.95,Manufacturing,2021
145,Germany,4,1,-2.66,Energy,2020
146,USA,7,1,11.85,Energy,2020
147,UK,6,2,-18.7,Manufacturing,2021
148,USA,4,2,-19.23,Software,2021
149,China,6,1,12.69,Energy,2022
150,Germany,8,2,-8.37,Manufacturing,2023
151,UK,2,3,48.02,Manufacturing,2021
152,China,7,2,-7.62,Construction,2020
153,USA,5,2,35.52,Construction,2021
154,UK,2,2,0.43,Construction,2022
155,China,6,3,30.16,Manufacturing,2022
156,UK,2,4,19.03,Energy,2020
157,USA,7,4,5.59,Construction,2021
158,USA,7,3,-7.77,Energy,2022
159,India,1,2,33.82,Energy,2023
160,India,1,4,34.98,Construction,2020
161,UK,4,1,6.01,Energy,2020
162,USA,3,1,15.86,Software,2023
163,Germany,9,1,4.06,Software,2021
164,India,6,1,-9.1,Energy,2021
165,India,2,1,45.53,Construction,2020
166,USA,1,3,28.86,Energy,2021
167,Germany,5,1,-9.24,Construction,2020
168,UK,3,4,-8.05,Construction,2021
169,USA,6,1,19.03,Software,2022
170,Germany,5,4,23.48,Software,2020
171,Germany,3,1,1.6,Energy,2022
172,Germany,8,2,-1.48,Energy,2021
